Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,11/15/2018,"OPTICS PLANET INC 888-563-0356 IL            11/14",-99.60,DEBIT_CARD,1684.02,,
DEBIT,11/14/2018,"COMCAST CHICAGO 800-COMCAST IL               11/14",-55.99,DEBIT_CARD,1783.62,,
DEBIT,11/14/2018,"THIRD PARTY TRAD ACH        20181110001110  WEB ID: 2561673990",-1000.00,ACH_DEBIT,1839.61,,
DEBIT,11/13/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/13",-20.00,DEBIT_CARD,2839.61,,
DEBIT,11/13/2018,"ABC*ANYTIME FITNESS 888-8279262 IL           11/11",-36.99,DEBIT_CARD,2859.61,,
DEBIT,11/13/2018,"JEWEL-OSCO        3720 LOCKPORT IL   497679  11/13",-9.68,DEBIT_CARD,2896.60,,
DEBIT,11/13/2018,"WWW.ADLERPLANETARIUM. 312-922-7827 IL        11/12",-40.00,DEBIT_CARD,2906.28,,
DEBIT,11/13/2018,"PANDA EXPRESS 691 WHEELING IL                11/09",-6.88,DEBIT_CARD,2946.28,,
DEBIT,11/09/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/08",-20.00,DEBIT_CARD,2953.16,,
DEBIT,11/09/2018,"BLIND FAITH CAFE EVANSTON IL                 11/08",-55.57,DEBIT_CARD,2973.16,,
CREDIT,11/09/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9444444404",1636.36,ACH_CREDIT,3028.73,,
DEBIT,11/08/2018,"JIMMY JOHNS # 533 DEERFIELD IL               11/07",-8.20,DEBIT_CARD,1392.37,,
DEBIT,11/06/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/06",-20.00,DEBIT_CARD,1400.57,,
DEBIT,11/06/2018,"SPEEDWAY 07440 100 LOCKPORT IL       590564  11/06",-21.75,DEBIT_CARD,1420.57,,
DEBIT,11/06/2018,"PANDA EXPRESS 691 WHEELING IL                11/05",-6.88,DEBIT_CARD,1442.32,,
DEBIT,11/05/2018,"SHELL Service Station LOCKPORT IL    059552  11/05",-39.94,DEBIT_CARD,1449.20,,
DEBIT,11/05/2018,"JEWEL-OSCO        3720 LOCKPORT IL   888797  11/04",-27.35,DEBIT_CARD,1489.14,,
DEBIT,11/05/2018,"JIFFY LUBE #303 HOMER GLEN IL                11/04",-96.86,DEBIT_CARD,1516.49,,
DEBIT,11/05/2018,"Amazon.com*M85025VF1 Amzn.com/bill WA        11/04",-33.21,DEBIT_CARD,1613.35,,
DEBIT,11/05/2018,"TACO DIABLO - LULUS - F EVANSTON IL          11/02",-42.65,DEBIT_CARD,1646.56,,
DEBIT,11/02/2018,"MCDONALD'S F4299 DEERFIELD IL                11/01",-8.91,DEBIT_CARD,1689.21,,
DEBIT,11/01/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/01",-20.00,DEBIT_CARD,1698.12,,
DEBIT,11/01/2018,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-2000.00,ACH_DEBIT,1718.12,,
DEBIT,11/01/2018,"JIMMY JOHNS # 533 DEERFIELD IL               10/31",-8.20,DEBIT_CARD,3718.12,,
DEBIT,10/31/2018,"SPEEDWAY 07440 100 LOCKPORT IL       693533  10/30",-23.02,DEBIT_CARD,3726.32,,
DEBIT,10/31/2018,"PANDA EXPRESS 691 WHEELING IL                10/30",-6.88,DEBIT_CARD,3749.34,,
DEBIT,10/30/2018,"MCDONALD'S F4299 DEERFIELD IL                10/29",-4.23,DEBIT_CARD,3756.22,,
DEBIT,10/29/2018,"Netflix.com netflix.com CA                   10/28",-10.99,DEBIT_CARD,3760.45,,
DEBIT,10/29/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/27",-20.00,DEBIT_CARD,3771.44,,
DEBIT,10/29/2018,"JEWEL-OSCO        3720 LOCKPORT IL   302645  10/28",-9.14,DEBIT_CARD,3791.44,,
DEBIT,10/29/2018,"SHELL Service Station LOCKPORT IL    071487  10/28",-39.15,DEBIT_CARD,3800.58,,
DEBIT,10/29/2018,"MILLER'S ALE HOUSE 090 ORLAND PARK IL        10/25",-110.00,DEBIT_CARD,3839.73,,
DEBIT,10/26/2018,"QuickPay with Zelle payment to landlord 7609496195",-725.00,QUICKPAY_DEBIT,3949.73,,
CREDIT,10/26/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9111111101",1696.72,ACH_CREDIT,4674.73,,
DEBIT,10/25/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/24",-20.00,DEBIT_CARD,2978.01,,
DEBIT,10/25/2018,"TST* RAVINIA BREWING HIGHLAND PARK IL        10/24",-23.00,DEBIT_CARD,2998.01,,
DEBIT,10/25/2018,"HAPPY SUSHI HIGHLAND PARK IL                 10/24",-40.00,DEBIT_CARD,3021.01,,
DEBIT,10/23/2018,"Spotify USA 646-8375380 NY                   10/23",-14.99,DEBIT_CARD,3061.01,,
DEBIT,10/23/2018,"SHELL Service Station LOCKPORT IL    099606  10/23",-41.29,DEBIT_CARD,3076.00,,
DEBIT,10/23/2018,"JIMMY JOHNS # 533 DEERFIELD IL               10/22",-8.20,DEBIT_CARD,3117.29,,
DEBIT,10/22/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/19",-20.00,DEBIT_CARD,3125.49,,
DEBIT,10/22/2018,"WAL-MART #3790 LOCKPORT IL                   10/21",-12.90,DEBIT_CARD,3145.49,,
DEBIT,10/22/2018,"WAL-MART #3790 LOCKPORT IL                   10/20",-36.18,DEBIT_CARD,3158.39,,
DEBIT,10/22/2018,"WAL-MART #3790 LOCKPORT IL                   10/20",-156.58,DEBIT_CARD,3194.57,,
DEBIT,10/22/2018,"PANDA EXPRESS 691 WHEELING IL                10/19",-6.88,DEBIT_CARD,3351.15,,
DEBIT,10/22/2018,"BUFFALO WILD WINGS ORL ORLAND PARK IL        10/18",-12.00,DEBIT_CARD,3358.03,,
DEBIT,10/19/2018,"SHELL Service Station LOCKPORT IL    045720  10/19",-36.21,DEBIT_CARD,3370.03,,
DEBIT,10/19/2018,"MCDONALD'S F4299 DEERFIELD IL                10/18",-4.23,DEBIT_CARD,3406.24,,
DEBIT,10/19/2018,"B&H PHOTO 800-606-6969 800-2215743 NY        10/18",1404.95,DEBIT_CARD,3410.47,,
DEBIT,10/18/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/17",-20.00,DEBIT_CARD,2005.52,,
DEBIT,10/18/2018,"PANDA EXPRESS 691 WHEELING IL                10/17",-6.88,DEBIT_CARD,2025.52,,
DEBIT,10/17/2018,"MCDONALD'S F4299 DEERFIELD IL                10/16",-3.47,DEBIT_CARD,2032.40,,
DEBIT,10/16/2018,"JIMMY JOHNS # 533 DEERFIELD IL               10/15",-8.20,DEBIT_CARD,2035.87,,
DEBIT,10/15/2018,"COMCAST CHICAGO 800-COMCAST IL               10/14",-55.99,DEBIT_CARD,2044.07,,
DEBIT,10/15/2018,"SPEEDWAY 07440 100 LOCKPORT IL       236505  10/15",-36.50,DEBIT_CARD,2100.06,,
DEBIT,10/15/2018,"DENNY'S #0898 BLOOMINGTON IL                 10/14",-12.20,DEBIT_CARD,2136.56,,
DEBIT,10/15/2018,"PAPA JOHN'S #0107 309-662-4422 IL            10/14",-16.92,DEBIT_CARD,2148.76,,
DEBIT,10/15/2018,"UBER   *TRIP 2NIAD 800-592-8996 CA           10/14",-1.00,DEBIT_CARD,2165.68,,
DEBIT,10/15/2018,"UBER   *TRIP 2NIAD 800-592-8996 CA           10/14",-8.56,DEBIT_CARD,2166.68,,
DEBIT,10/15/2018,"LA BAMBA MEXICAN RESTAU NORMAL IL            10/13",-8.47,DEBIT_CARD,2175.24,,
DEBIT,10/15/2018,"NORMAL COFFEE HOUSE NORMAL IL                10/13",-3.63,DEBIT_CARD,2183.71,,
DEBIT,10/15/2018,"PAPA JOHN'S #0107 309-662-4422 IL            10/13",-31.93,DEBIT_CARD,2187.34,,
DEBIT,10/15/2018,"Maggie Miley's Normal IL                     10/12",-26.00,DEBIT_CARD,2219.27,,
DEBIT,10/12/2018,"ABC*ANYTIME FITNESS 888-8279262 IL           10/11",-36.99,DEBIT_CARD,2245.27,,
DEBIT,10/12/2018,"MILLER'S ALE HOUSE 090 ORLAND PARK IL        10/11",-11.41,DEBIT_CARD,2282.26,,
DEBIT,10/12/2018,"MCDONALD'S F4299 DEERFIELD IL                10/11",-4.23,DEBIT_CARD,2293.67,,
CREDIT,10/12/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9444444404",1696.73,ACH_CREDIT,2297.90,,
DEBIT,10/11/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/10",-20.00,DEBIT_CARD,601.17,,
DEBIT,10/11/2018,"PANDA EXPRESS 691 WHEELING IL                10/10",-6.88,DEBIT_CARD,621.17,,
DEBIT,10/11/2018,"WOOT INC. WOOT.COM TX                        10/11",-1062.49,DEBIT_CARD,628.05,,
DEBIT,10/09/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/08",-20.00,DEBIT_CARD,1690.54,,
DEBIT,10/09/2018,"SHELL Service Station LOCKPORT IL    023385  10/09",-23.95,DEBIT_CARD,1710.54,,
DEBIT,10/09/2018,"WM SUPERC Wal-Mart Sup LOCKPORT IL           10/08",-21.47,DEBIT_CARD,1734.49,,
DEBIT,10/09/2018,"SHELL Service Station LOCKPORT IL    002722  10/07",-44.27,DEBIT_CARD,1755.96,,
DEBIT,10/09/2018,"SLICE*VILLANOVAPIZZA SLICELIFE.COM NY        10/06",-34.43,DEBIT_CARD,1800.23,,
DEBIT,10/09/2018,"KENWOOD HOMER GLEN HOMER GLEN IL     458563  10/06",-37.76,DEBIT_CARD,1834.66,,
DEBIT,10/09/2018,"JEWEL-OSCO        3720 LOCKPORT IL   105967  10/06",-25.14,DEBIT_CARD,1872.42,,
DEBIT,10/09/2018,"UBER   *TRIP HT4YJ 800-592-8996 CA           10/06",-1.00,DEBIT_CARD,1897.56,,
DEBIT,10/09/2018,"BULL DOG ALE HOUSE - N NEW LENOX IL          10/06",-22.00,DEBIT_CARD,1898.56,,
DEBIT,10/09/2018,"UBER   *TRIP HT4YJ 800-592-8996 CA           10/06",-7.86,DEBIT_CARD,1920.56,,
DEBIT,10/09/2018,"UBER   *TRIP V57IG 800-592-8996 CA           10/06",-7.17,DEBIT_CARD,1928.42,,
DEBIT,10/09/2018,"BP#8937138ANR PETROLEUM NORTHBROOK IL        10/05",-9.94,DEBIT_CARD,1935.59,,
DEBIT,10/09/2018,"MCDONALD'S F4299 DEERFIELD IL                10/05",-4.23,DEBIT_CARD,1945.53,,
DEBIT,10/04/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        10/04",-20.00,DEBIT_CARD,1949.76,,
DEBIT,10/03/2018,"LINCOLN HALL VENUE CHICAGO IL                10/02",-20.00,DEBIT_CARD,1969.76,,
DEBIT,10/03/2018,"SPOTHERO 844-324-7768 13125667768 IL         10/02",-8.00,DEBIT_CARD,1989.76,,
DEBIT,10/03/2018,"COOK CO SUBURBAN MUNI ROLLING MDWS IL        10/02",-473.74,DEBIT_CARD,1997.76,,
DEBIT,10/01/2018,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-1.00,ACH_DEBIT,2471.50,,
DEBIT,10/01/2018,"Netflix.com netflix.com CA                   09/28",-10.99,DEBIT_CARD,2472.50,,
DEBIT,10/01/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/30",-20.00,DEBIT_CARD,2483.49,,
DEBIT,10/01/2018,"SHELL Service Station LOCKPORT IL    037860  10/01",-32.01,DEBIT_CARD,2503.49,,
DEBIT,10/01/2018,"CHEESECAKE OAKBROOK OAKBROOK IL              09/30",-22.00,DEBIT_CARD,2535.50,,
DEBIT,10/01/2018,"5GUYS 0515 QSR ORLAND PARK IL                09/29",-16.10,DEBIT_CARD,2557.50,,
DEBIT,10/01/2018,"SHELL Service Station LOCKPORT IL    086954  09/29",-42.20,DEBIT_CARD,2573.60,,
DEBIT,10/01/2018,"PIZZA HUT 032429 NEW LENOX IL                09/28",-28.47,DEBIT_CARD,2615.80,,
DEBIT,09/28/2018,"QuickPay with Zelle payment to landlord 7528670523",-725.00,QUICKPAY_DEBIT,2644.27,,
DEBIT,09/28/2018,"MCDONALD'S F4299 DEERFIELD IL                09/27",-3.79,DEBIT_CARD,3369.27,,
DEBIT,09/28/2018,"THE DAVIS LAW GROUP,PC NORTHFIELD IL         09/25",-450.00,DEBIT_CARD,3373.06,,
CREDIT,09/28/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9111111101",1696.72,ACH_CREDIT,3823.06,,
DEBIT,09/27/2018,"VENMO* Visa Direct NY                        09/27",-360.00,DEBIT_CARD,2126.34,,
CREDIT,09/27/2018,"ROBINHOOD (CRFN) ACH                        PPD ID: 1000101344",800.00,ACH_CREDIT,2486.34,,
CREDIT,09/27/2018,"ROBINHOOD (CRFN) ACH                        PPD ID: 1000101344",1200.00,ACH_CREDIT,1686.34,,
DEBIT,09/26/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/26",-20.00,DEBIT_CARD,486.34,,
DEBIT,09/25/2018,"VENMO*Riordan Bill NEW YORK CITY NY  387808  09/26",49.75,DEBIT_CARD,506.34,,
DEBIT,09/25/2018,"VENMO*Riordan Bill NEW YORK CITY NY  907365  09/25",319.75,DEBIT_CARD,456.59,,
DEBIT,09/24/2018,"Spotify USA 646-8375380 NY                   09/23",-14.99,DEBIT_CARD,136.84,,
DEBIT,09/24/2018,"JEWEL-OSCO        3720 LOCKPORT IL   121577  09/24",-53.57,DEBIT_CARD,151.83,,
DEBIT,09/24/2018,"SHELL Service Station LOCKPORT IL    057195  09/24",-38.66,DEBIT_CARD,205.40,,
DEBIT,09/24/2018,"PAPA JOHN'S #0107 309-662-4422 IL            09/23",-18.34,DEBIT_CARD,244.06,,
DEBIT,09/24/2018,"DRIFTERS PUB BLOOMINGTON IL                  09/23",-6.00,DEBIT_CARD,262.40,,
DEBIT,09/24/2018,"B&H PHOTO 800-606-6969 800-2215743 NY        09/22",-1404.95,DEBIT_CARD,268.40,,
DEBIT,09/24/2018,"JIMMY JOHNS # 533 DEERFIELD IL               09/21",-8.20,DEBIT_CARD,1673.35,,
DEBIT,09/24/2018,"OPTICS PLANET INC 888-563-0356 IL            09/21",-70.04,DEBIT_CARD,1681.55,,
DEBIT,09/21/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/21",-20.00,DEBIT_CARD,1751.59,,
DEBIT,09/21/2018,"MILLER'S ALE HOUSE 090 ORLAND PARK IL        09/20",-15.04,DEBIT_CARD,1771.59,,
DEBIT,09/21/2018,"PANDA EXPRESS 691 WHEELING IL                09/20",-8.88,DEBIT_CARD,1786.63,,
DEBIT,09/20/2018,"ROBINHOOD (CRFN) ACH        20180919067428  WEB ID: 1000101344",-1000.00,ACH_DEBIT,1795.51,,
DEBIT,09/20/2018,"PANDA EXPRESS 691 WHEELING IL                09/19",-6.88,DEBIT_CARD,2795.51,,
DEBIT,09/19/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/18",-20.00,DEBIT_CARD,2802.39,,
DEBIT,09/19/2018,"JIMMY JOHNS # 533 DEERFIELD IL               09/18",-8.20,DEBIT_CARD,2822.39,,
DEBIT,09/18/2018,"ROBINHOOD (CRFN) ACH        20180917251038  WEB ID: 1000101344",-500.00,ACH_DEBIT,2830.59,,
DEBIT,09/18/2018,"SHELL Service Station LOCKPORT IL    068255  09/18",-35.70,DEBIT_CARD,3330.59,,
CREDIT,09/18/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",161.00,ACH_CREDIT,3366.29,,
DEBIT,09/17/2018,"SCHWAB BROKERAGE MONEYLINK  558622483139328 WEB ID: 9005586224",-2000.00,ACH_DEBIT,3205.29,,
DEBIT,09/17/2018,"VILLAGE OF FONTANA FONTANA WI                09/14",-6.00,DEBIT_CARD,5205.29,,
DEBIT,09/14/2018,"COMCAST CHICAGO 800-COMCAST IL               09/14",-55.99,DEBIT_CARD,5211.29,,
CREDIT,09/14/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9111111101",1696.72,ACH_CREDIT,5267.28,,
DEBIT,09/13/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/12",-20.00,DEBIT_CARD,3570.56,,
DEBIT,09/12/2018,"ABC*ANYTIME FITNESS 888-8279262 IL           09/11",-36.99,DEBIT_CARD,3590.56,,
DEBIT,09/12/2018,"SHELL Service Station LOCKPORT IL    081101  09/12",-45.03,DEBIT_CARD,3627.55,,
DEBIT,09/12/2018,"JIMMY JOHNS # 533 DEERFIELD IL               09/11",-8.20,DEBIT_CARD,3672.58,,
DEBIT,09/12/2018,"SHELL OIL 57445180607 LOCKPORT IL            09/11",-20.00,DEBIT_CARD,3680.78,,
CREDIT,09/12/2018,"ROBINHOOD (CRFN) ACH                        PPD ID: 1000101344",3000.00,ACH_CREDIT,3700.78,,
DEBIT,09/11/2018,"QuickPay with Zelle payment to landlord 7479908543",-66.35,QUICKPAY_DEBIT,700.78,,
DEBIT,09/11/2018,"SLICE SLICELIFE.COM NY                       09/10",-1.00,DEBIT_CARD,767.13,,
DEBIT,09/11/2018,"SLICE*VILLANOVAPIZZA SLICELIFE.COM NY        09/10",-30.79,DEBIT_CARD,768.13,,
DEBIT,09/10/2018,"DNCSS CHICAGO BB CON CHICAGO IL              09/08",-9.00,DEBIT_CARD,798.92,,
DEBIT,09/10/2018,"DNCSS CHICAGO BB CON CHICAGO IL              09/08",-10.00,DEBIT_CARD,807.92,,
DEBIT,09/10/2018,"CHISOX BAR & GRILL CHICAGO IL                09/08",-135.50,DEBIT_CARD,817.92,,
DEBIT,09/07/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        09/06",-20.00,DEBIT_CARD,953.42,,
DEBIT,09/07/2018,"JAMESONS PUB - FRANKF FRANKFORT IL           09/06",-38.00,DEBIT_CARD,973.42,,
DEBIT,09/07/2018,"BUFFALO WILD WINGS ORL ORLAND PARK IL        09/06",-18.00,DEBIT_CARD,1011.42,,
DEBIT,09/07/2018,"JIMMY JOHNS # 533 DEERFIELD IL               09/06",-8.20,DEBIT_CARD,1029.42,,
DEBIT,09/05/2018,"STITCH FIX, INC. 8443863850 CA               09/04",-221.46,DEBIT_CARD,1037.62,,
DEBIT,09/04/2018,"STEAMGAMES.COM 425-889-9642 WA               09/01",-21.24,DEBIT_CARD,1259.08,,
DEBIT,09/04/2018,"Microsoft *Xbox Redmond WA                   09/01",-40.84,DEBIT_CARD,1280.32,,
DEBIT,09/04/2018,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",-2000.00,ACH_DEBIT,1321.16,,
DEBIT,09/04/2018,"SHELL Service Station LOCKPORT IL    041087  09/03",-39.02,DEBIT_CARD,3321.16,,
DEBIT,09/04/2018,"JEWEL-OSCO        3720 LOCKPORT IL   090529  09/01",-46.18,DEBIT_CARD,3360.18,,
DEBIT,08/31/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/31",-20.00,DEBIT_CARD,3406.36,,
CREDIT,08/31/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9111111101",1696.73,ACH_CREDIT,3426.36,,
DEBIT,08/30/2018,"DAVIDSONS BAR  GRILL HOMER GLEN IL           08/29",-33.00,DEBIT_CARD,1729.63,,
DEBIT,08/30/2018,"SHELL OIL 57445180607 LOCKPORT IL            08/29",-37.85,DEBIT_CARD,1762.63,,
DEBIT,08/29/2018,"Netflix.com netflix.com CA                   08/28",-10.99,DEBIT_CARD,1800.48,,
DEBIT,08/29/2018,"MICROSOFT   *XBOX MSBILL.INFO WA             08/28",-7.97,DEBIT_CARD,1811.47,,
DEBIT,08/29/2018,"JIMMY JOHNS # 533 DEERFIELD IL               08/28",-8.20,DEBIT_CARD,1819.44,,
DEBIT,08/28/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/27",-20.00,DEBIT_CARD,1827.64,,
DEBIT,08/28/2018,"JIMMY JOHNS # 533 DEERFIELD IL               08/27",-8.20,DEBIT_CARD,1847.64,,
DEBIT,08/27/2018,"BP#9109927WILLO NORTHBROOK IL                08/27",-9.00,DEBIT_CARD,1855.84,,
DEBIT,08/27/2018,"QuickPay with Zelle payment to landlord 7431465924",-725.00,QUICKPAY_DEBIT,1864.84,,
DEBIT,08/27/2018,"HAMILTONS PUB LEMONT IL                      08/25",-32.00,DEBIT_CARD,2589.84,,
DEBIT,08/27/2018,"HAMILTONS PUB LEMONT IL                      08/24",-21.50,DEBIT_CARD,2621.84,,
DEBIT,08/27/2018,"PANDA EXPRESS 691 WHEELING IL                08/24",-6.88,DEBIT_CARD,2643.34,,
DEBIT,08/27/2018,"STEAMGAMES.COM 425-889-9642 WA               08/24",-12.74,DEBIT_CARD,2650.22,,
DEBIT,08/24/2018,"BUFFALO WILD WINGS ORL ORLAND PARK IL        08/23",-20.00,DEBIT_CARD,2662.96,,
DEBIT,08/23/2018,"Spotify USA 646-8375380 NY                   08/23",-14.99,DEBIT_CARD,2682.96,,
DEBIT,08/23/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/22",-20.00,DEBIT_CARD,2697.95,,
DEBIT,08/23/2018,"COOL CREATIONS LOCKPORT IL                   08/23",-6.94,DEBIT_CARD,2717.95,,
DEBIT,08/23/2018,"PANDA EXPRESS 691 WHEELING IL                08/22",-11.88,DEBIT_CARD,2724.89,,
DEBIT,08/22/2018,"SHELL Service Station LOCKPORT IL    036702  08/22",-40.35,DEBIT_CARD,2736.77,,
DEBIT,08/22/2018,"AMZN Mktp US Amzn.com/bill WA                08/21",-75.22,DEBIT_CARD,2777.12,,
DEBIT,08/21/2018,"STITCH FIX, INC. 844-386-3850 CA             08/20",-20.00,DEBIT_CARD,2852.34,,
DEBIT,08/21/2018,"WILLOW RUN GOLF COUR MOKENA IL               08/19",-20.00,DEBIT_CARD,2872.34,,
DEBIT,08/21/2018,"CITGO 44 LOCKPORT LOCKPORT IL                08/19",-43.97,DEBIT_CARD,2892.34,,
DEBIT,08/20/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/17",-20.00,DEBIT_CARD,2936.31,,
DEBIT,08/20/2018,"WENDY'S 8949 HOMER GLEN IL                   08/19",-11.55,DEBIT_CARD,2956.31,,
DEBIT,08/20/2018,"WILLOW RUN GOLF COURSE MOKENA IL             08/19",-16.00,DEBIT_CARD,2967.86,,
DEBIT,08/20/2018,"JEWEL-OSCO        3720 LOCKPORT IL   629095  08/18",-56.21,DEBIT_CARD,2983.86,,
DEBIT,08/20/2018,"WM SUPERC Wal-Mart Sup LOCKPORT IL           08/18",-48.49,DEBIT_CARD,3040.07,,
DEBIT,08/17/2018,"BUFFALO WILD WINGS ORL ORLAND PARK IL        08/16",-20.00,DEBIT_CARD,3088.56,,
DEBIT,08/17/2018,"PANDA EXPRESS 691 WHEELING IL                08/16",-6.88,DEBIT_CARD,3108.56,,
CREDIT,08/17/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9111111101",1696.71,ACH_CREDIT,3115.44,,
DEBIT,08/15/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/14",-20.00,DEBIT_CARD,1418.73,,
DEBIT,08/15/2018,"Amazon Prime Amzn.com/bill WA                08/15",-119.00,DEBIT_CARD,1438.73,,
DEBIT,08/15/2018,"SHELL Service Station LOCKPORT IL    075988  08/15",-35.73,DEBIT_CARD,1557.73,,
DEBIT,08/15/2018,"HAZEL MARIES LOCKPORT IL                     08/13",-7.36,DEBIT_CARD,1593.46,,
DEBIT,08/14/2018,"COMCAST CHICAGO 800-COMCAST IL               08/14",-55.99,DEBIT_CARD,1600.82,,
DEBIT,08/14/2018,"PANERA BREAD #204097 LOCKPORT IL             08/13",-12.61,DEBIT_CARD,1656.81,,
DEBIT,08/13/2018,"STITCH FIX, INC. 844-386-3850 CA             08/11",-20.00,DEBIT_CARD,1669.42,,
DEBIT,08/13/2018,"SPEEDWAY 07440 100 LOCKPORT IL       752304  08/12",-42.29,DEBIT_CARD,1689.42,,
DEBIT,08/13/2018,"CHISOX BAR & GRILL CHICAGO IL                08/11",-130.00,DEBIT_CARD,1731.71,,
DEBIT,08/13/2018,"JEWEL-OSCO        3720 LOCKPORT IL   652547  08/11",-60.58,DEBIT_CARD,1861.71,,
DEBIT,08/13/2018,"ANYTIME FITNESS LOCKPORT IL                  08/11",-29.00,DEBIT_CARD,1922.29,,
DEBIT,08/10/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/10",-20.00,DEBIT_CARD,1951.29,,
DEBIT,08/10/2018,"BUFFALO WILD WINGS ORL ORLAND PARK IL        08/09",-20.00,DEBIT_CARD,1971.29,,
DEBIT,08/09/2018,"PANDA EXPRESS 691 WHEELING IL                08/08",-11.88,DEBIT_CARD,1991.29,,
DEBIT,08/08/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        08/07",-20.00,DEBIT_CARD,2003.17,,
DEBIT,08/07/2018,"SHELL Service Station LOCKPORT IL    067275  08/07",-25.45,DEBIT_CARD,2023.17,,
DEBIT,08/06/2018,"Wal-Mart Super Center LOCKPORT IL            08/05",-24.81,DEBIT_CARD,2048.62,,
DEBIT,08/06/2018,"SHELL Service Station LOCKPORT IL    035607  08/05",-43.21,DEBIT_CARD,2073.43,,
DEBIT,08/06/2018,"MCDONALD'S F32320 LOCKPORT IL                08/05",-14.32,DEBIT_CARD,2116.64,,
DEBIT,08/06/2018,"PARADISE BAY LOCKPORT IL                     08/04",-22.00,DEBIT_CARD,2130.96,,
DEBIT,08/06/2018,"FAT RICKYS ROMEOVILLE ROMEOVILLE IL          08/04",-16.00,DEBIT_CARD,2152.96,,
